City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,safi,32.1667,-8.8333,16.93,21,0,4.98,MA,1736874366
159,newman,37.3138,-121.0208,8.63,48,1,0.58,US,1736874367
160,quellon,-43.1167,-73.6167,15.64,59,73,5.04,CL,1736874369
161,carrizo springs,28.5219,-99.8606,7.97,57,100,0.0,US,1736874370
162,amga,60.8953,131.9608,-45.33,100,85,0.74,RU,1736874372
163,vadso,70.0744,29.7487,-1.39,72,15,5.16,NO,1736874373
164,daru,-9.0763,143.2092,25.73,90,100,2.83,PG,1736874374
165,port isabel,26.0734,-97.2086,14.02,100,100,4.63,US,1736874376
166,saudarkrokur,65.7461,-19.6394,6.5,92,100,10.84,IS,1736874148
167,dolisie,-4.1997,12.6739,23.38,92,100,2.32,CG,1736874378
168,hasaki,35.7333,140.8333,8.8,62,2,3.85,JP,1736874380
169,constantia,44.1833,28.65,0.39,66,37,3.12,RO,1736874105
170,utrik,11.2278,169.8474,26.56,79,73,10.99,MH,1736874382
171,howard springs,-12.497,131.047,27.95,99,100,2.12,AU,1736874384
172,bay roberts,47.5999,-53.2648,0.03,80,79,1.79,CA,1736874386
173,port elizabeth,-33.918,25.5701,22.16,84,20,12.35,ZA,1736874314
174,east london,-33.0153,27.9116,24.52,69,40,8.75,ZA,1736874396
175,buka,40.8108,69.1986,4.56,39,88,1.4,UZ,1736874398
176,boundiali,9.5217,-6.4869,34.83,10,45,1.09,CI,1736874399
177,icano,-28.9193,-65.3282,37.95,16,27,3.98,AR,1736874400
178,muli,2.9167,73.5667,26.45,80,100,6.87,MV,1736874402
179,weining,26.85,104.2333,-1.28,92,94,1.22,CN,1736874403
180,el porvenir,13.7617,-87.3458,31.51,25,95,2.22,HN,1736874404
181,virginia,37.5481,-77.4467,4.19,43,0,5.14,US,1736874405
182,midvagur,62.0511,-7.1939,8.46,100,100,2.06,FO,1736874407
183,kingston,17.997,-76.7936,30.65,58,20,3.09,JM,1736873958
184,luanda,-8.8368,13.2343,28.0,69,75,4.63,AO,1736874270
185,twon-brass,4.3151,6.2418,28.44,72,71,6.47,NG,1736874410
186,penzance,50.1186,-5.5371,10.38,87,20,3.6,GB,1736874411
187,keflavik,64.0049,-22.5624,9.24,100,100,14.4,IS,1736874413
188,rongelap,11.1635,166.8941,26.92,77,89,11.18,MH,1736874414
189,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.79,PT,1736874416
190,humberto de campos,-2.5983,-43.4611,24.03,95,100,0.29,BR,1736874417
191,konarka,19.9,86.1167,21.85,67,44,3.47,IN,1736874419
192,goldsboro,35.3849,-77.9928,6.95,30,20,5.14,US,1736874191
193,papatowai,-46.5619,169.4708,10.98,77,95,3.87,NZ,1736874422
194,sarkad,46.75,21.3833,-3.92,72,0,0.32,HU,1736874423
195,borogontsy,62.6683,131.1683,-43.99,100,79,1.43,RU,1736874425
196,sao miguel,-5.4667,-35.3667,25.77,85,100,4.45,BR,1736874426
197,forest,37.3638,-79.2897,2.03,37,0,2.57,US,1736874428
198,thinadhoo,0.5333,72.9333,27.27,76,76,6.62,MV,1736874429
199,oriximina,-1.7656,-55.8661,33.63,43,91,1.49,BR,1736874430
200,castillos,-34.1667,-53.8333,27.24,46,78,6.35,UY,1736874431
201,inhambane,-23.865,35.3833,27.97,76,61,1.22,MZ,1736874433
202,kokopo,-4.352,152.2633,26.29,76,100,1.94,PG,1736874434
203,tomatlan,19.9333,-105.25,28.66,52,100,0.57,MX,1736874436
204,kruisfontein,-34.0033,24.7314,19.8,80,1,11.91,ZA,1736874437
205,la paz,-16.5,-68.15,16.99,36,40,4.63,BO,1736873818
206,posto fiscal rolim de moura,-13.0833,-62.2667,22.72,98,100,2.46,BR,1736874440
207,salinopolis,-0.6136,-47.3561,27.73,72,100,4.84,BR,1736874441
208,kondopoga,62.2057,34.2614,1.57,98,100,3.96,RU,1736874443
209,azangaro,-14.9167,-70.2167,15.2,20,1,2.0,PE,1736874445
210,iskateley,67.6803,53.1512,-6.35,97,100,2.53,RU,1736874446
211,acapulco de juarez,16.8634,-99.8901,28.9,61,40,1.54,MX,1736874448
212,bikenibeu village,1.3673,173.1241,26.98,83,20,4.12,KI,1736874449
213,namibe,-15.1961,12.1522,22.08,76,83,5.22,AO,1736874451
214,mitu,1.1983,-70.1733,30.36,40,100,3.33,CO,1736874452
215,port augusta,-32.5,137.7667,24.76,49,100,2.95,AU,1736874454
216,sungai penuh,-2.0833,101.3833,18.99,98,100,0.76,ID,1736874455
217,polyarnyy,69.1989,33.4478,-0.3,62,100,7.67,RU,1736874261
218,perugorria,-29.3413,-58.6106,35.98,18,58,2.15,AR,1736874458
219,najran,17.4924,44.1277,14.11,48,0,2.72,SA,1736874459
220,strathmore,51.0501,-113.3852,-5.11,77,34,3.33,CA,1736874360
221,al ghayzah,16.2079,52.176,22.38,39,0,2.58,YE,1736874461
222,marsala,37.7966,12.4352,11.75,78,80,9.77,IT,1736874463
223,coquimbo,-29.9533,-71.3436,21.85,73,75,6.17,CL,1736874464
224,st. john's,47.5649,-52.7093,0.6,83,75,5.14,CA,1736874366
225,kerikeri,-35.2268,173.9474,9.95,89,18,1.81,NZ,1736874466
226,touros,-5.1989,-35.4608,25.78,86,100,4.17,BR,1736874469
227,uturoa,-16.7333,-151.4333,27.4,80,100,10.81,PF,1736874472
228,fale old settlement,-9.3852,-171.2468,27.57,79,97,8.48,TK,1736874473
229,richards bay,-28.783,32.0377,26.18,80,0,5.88,ZA,1736874474
230,nadym,65.5333,72.5167,-9.29,93,100,4.96,RU,1736874475
231,borkum,53.5809,6.6915,6.91,92,100,8.29,DE,1736874477
232,sept-iles,50.2001,-66.3821,-5.53,68,100,4.12,CA,1736874398
233,la passe,45.5549,-0.8967,3.45,62,40,4.75,FR,1736874479
234,belo sur tsiribihina,-19.7,44.55,25.42,91,100,4.27,MG,1736874480
235,bambanglipuro,-7.95,110.2833,25.09,89,100,2.84,ID,1736874482
236,labytnangi,66.6572,66.4183,-11.04,94,100,0.87,RU,1736874483
237,teshi old town,5.5836,-0.1072,28.79,70,14,6.18,GH,1736874484
238,mhasvad,17.6333,74.7833,25.38,42,73,3.74,IN,1736874485
239,tagaw-bay,35.6994,66.0616,-1.01,81,100,2.11,AF,1736874487
